Record Length,Analog:1400
Sample Interval,CH:0.0000000010000
Vertical Units,CH1:V CH3:V,,,
Vertical Scale,CH1:+1.000000E+00 CH3:+1.000000E+00,,,
Vertical Offset,CH1:+2.000000E-01 CH3:-3.500000E+00,,,
Horizontal Units,us,,,
Horizontal Scale,0.1000000000,,,
Model Number,SDS1204X-E,,,
Serial Number,SDSMMEBQ3R3911,,,
Software Version,8.1.6.1.33,,,
Source,CH1,CH3
Second,Volt,Volt
+0.000000E+00,+3.999999E-02,+6.000018E-02
+1.000000E-09,+3.999999E-02,+1.999998E-02
+2.000000E-09,+3.999999E-02,+1.999998E-02
+3.000000E-09,+3.999999E-02,+1.999998E-02
+4.000000E-09,-1.490116E-08,+1.999998E-02
+5.000000E-09,-1.490116E-08,+1.999998E-02
+6.000000E-09,-1.490116E-08,+1.999998E-02
+7.000000E-09,-1.490116E-08,+1.999998E-02
+8.000000E-09,-1.490116E-08,+1.999998E-02
+9.000000E-09,-1.490116E-08,+1.999998E-02
+1.000000E-08,-1.490116E-08,+1.999998E-02
+1.100000E-08,-1.490116E-08,+1.999998E-02
+1.200000E-08,-1.490116E-08,+1.999998E-02
+1.300000E-08,-1.490116E-08,-1.999998E-02
+1.400000E-08,-1.490116E-08,-1.999998E-02
+1.500000E-08,-1.490116E-08,+1.999998E-02
+1.600000E-08,-1.490116E-08,+1.999998E-02
+1.700000E-08,-1.490116E-08,-1.999998E-02
+1.800000E-08,-1.490116E-08,+1.999998E-02
+1.900000E-08,-1.490116E-08,+1.999998E-02
+2.000000E-08,-1.490116E-08,+1.999998E-02
+2.100000E-08,-1.490116E-08,-1.999998E-02
+2.200000E-08,-1.490116E-08,-1.999998E-02
+2.300000E-08,-1.490116E-08,+1.999998E-02
+2.400000E-08,-1.490116E-08,+1.999998E-02
+2.500000E-08,-1.490116E-08,+1.999998E-02
+2.600000E-08,-1.490116E-08,+1.999998E-02
+2.700000E-08,-1.490116E-08,+1.999998E-02
+2.800000E-08,-1.490116E-08,+1.999998E-02
+2.900000E-08,-1.490116E-08,-1.999998E-02
+3.000000E-08,-1.490116E-08,-1.999998E-02
+3.100000E-08,-1.490116E-08,+1.999998E-02
+3.200000E-08,-1.490116E-08,+1.999998E-02
+3.300000E-08,-1.490116E-08,-1.999998E-02
+3.400000E-08,-1.490116E-08,-1.999998E-02
+3.500000E-08,-1.490116E-08,+1.999998E-02
+3.600000E-08,-1.490116E-08,+1.999998E-02
+3.700000E-08,+8.000000E-02,-1.999998E-02
+3.800000E-08,+1.600000E-01,-1.999998E-02
+3.900000E-08,+2.400000E-01,+1.999998E-02
+4.000000E-08,+3.200000E-01,+1.999998E-02
+4.100000E-08,+4.000000E-01,+6.000018E-02
+4.200000E-08,+4.000000E-01,+6.000018E-02
+4.300000E-08,+4.000000E-01,+6.000018E-02
+4.400000E-08,+4.000000E-01,+6.000018E-02
+4.500000E-08,+4.000000E-01,+1.999998E-02
+4.600000E-08,+4.000000E-01,+1.999998E-02
+4.700000E-08,+4.800000E-01,+1.999998E-02
+4.800000E-08,+5.200000E-01,-1.999998E-02
+4.900000E-08,+6.000000E-01,-1.999998E-02
+5.000000E-08,+6.400000E-01,-1.999998E-02
+5.100000E-08,+7.600000E-01,-1.999998E-02
+5.200000E-08,+8.400000E-01,-1.999998E-02
+5.300000E-08,+9.200000E-01,-1.999998E-02
+5.400000E-08,+9.999999E-01,+6.000018E-02
+5.500000E-08,+1.040000E+00,+1.999998E-02
+5.600000E-08,+1.120000E+00,+1.999998E-02
+5.700000E-08,+1.160000E+00,+1.999998E-02
+5.800000E-08,+1.240000E+00,+1.999998E-02
+5.900000E-08,+1.280000E+00,+1.999998E-02
+6.000000E-08,+1.360000E+00,+1.999998E-02
+6.100000E-08,+1.400000E+00,-1.999998E-02
+6.200000E-08,+1.480000E+00,+1.999998E-02
+6.300000E-08,+1.520000E+00,+6.000018E-02
+6.400000E-08,+1.640000E+00,+1.999998E-02
+6.500000E-08,+1.720000E+00,+1.999998E-02
+6.600000E-08,+1.760000E+00,+1.999998E-02
+6.700000E-08,+1.840000E+00,+1.999998E-02
+6.800000E-08,+1.920000E+00,+1.999998E-02
+6.900000E-08,+1.960000E+00,+6.000018E-02
+7.000000E-08,+2.000000E+00,+6.000018E-02
+7.100000E-08,+2.120000E+00,+1.999998E-02
+7.200000E-08,+2.160000E+00,+1.999998E-02
+7.300000E-08,+2.240000E+00,+1.999998E-02
+7.400000E-08,+2.280000E+00,+6.000018E-02
+7.500000E-08,+2.360000E+00,+6.000018E-02
+7.600000E-08,+2.400000E+00,+6.000018E-02
+7.700000E-08,+2.440000E+00,+6.000018E-02
+7.800000E-08,+2.480000E+00,+1.000001E-01
+7.900000E-08,+2.480000E+00,+1.000001E-01
+8.000000E-08,+2.560000E+00,+6.000018E-02
+8.100000E-08,+2.600000E+00,+6.000018E-02
+8.200000E-08,+2.600000E+00,+6.000018E-02
+8.300000E-08,+2.640000E+00,+6.000018E-02
+8.400000E-08,+2.680000E+00,+1.000001E-01
+8.500000E-08,+2.720000E+00,+1.000001E-01
+8.600000E-08,+2.760000E+00,+6.000018E-02
+8.700000E-08,+2.760000E+00,+6.000018E-02
+8.800000E-08,+2.800000E+00,+6.000018E-02
+8.900000E-08,+2.840000E+00,+6.000018E-02
+9.000000E-08,+2.840000E+00,+1.000001E-01
+9.100000E-08,+2.880000E+00,+1.000001E-01
+9.200000E-08,+2.880000E+00,+1.000001E-01
+9.300000E-08,+2.880000E+00,+6.000018E-02
+9.400000E-08,+2.920000E+00,+1.400001E-01
+9.500000E-08,+2.880000E+00,+1.000001E-01
+9.600000E-08,+2.960000E+00,+1.000001E-01
+9.700000E-08,+2.960000E+00,+6.000018E-02
+9.800000E-08,+2.920000E+00,+1.000001E-01
+9.900000E-08,+3.000000E+00,+1.000001E-01
+1.000000E-07,+3.000000E+00,+1.400001E-01
+1.010000E-07,+3.000000E+00,+6.000018E-02
+1.020000E-07,+3.040000E+00,+6.000018E-02
+1.030000E-07,+3.040000E+00,+1.000001E-01
+1.040000E-07,+3.040000E+00,+6.000018E-02
+1.050000E-07,+3.040000E+00,+6.000018E-02
+1.060000E-07,+3.040000E+00,+6.000018E-02
+1.070000E-07,+3.000000E+00,+6.000018E-02
+1.080000E-07,+3.040000E+00,+6.000018E-02
+1.090000E-07,+3.040000E+00,+1.999998E-02
+1.100000E-07,+3.080000E+00,+6.000018E-02
+1.110000E-07,+3.080000E+00,+1.000001E-01
+1.120000E-07,+3.080000E+00,+6.000018E-02
+1.130000E-07,+3.080000E+00,+1.999998E-02
+1.140000E-07,+3.080000E+00,+6.000018E-02
+1.150000E-07,+3.080000E+00,+6.000018E-02
+1.160000E-07,+3.080000E+00,+6.000018E-02
+1.170000E-07,+3.080000E+00,+1.000001E-01
+1.180000E-07,+3.080000E+00,+1.400001E-01
+1.190000E-07,+3.080000E+00,+2.200000E-01
+1.200000E-07,+3.120000E+00,+2.600000E-01
+1.210000E-07,+3.120000E+00,+3.400002E-01
+1.220000E-07,+3.120000E+00,+3.800001E-01
+1.230000E-07,+3.160000E+00,+4.600000E-01
+1.240000E-07,+3.120000E+00,+5.000000E-01
+1.250000E-07,+3.120000E+00,+5.800002E-01
+1.260000E-07,+3.120000E+00,+6.200001E-01
+1.270000E-07,+3.160000E+00,+6.200001E-01
+1.280000E-07,+3.160000E+00,+6.600001E-01
+1.290000E-07,+3.160000E+00,+7.000000E-01
+1.300000E-07,+3.160000E+00,+7.800000E-01
+1.310000E-07,+3.200000E+00,+8.200002E-01
+1.320000E-07,+3.200000E+00,+9.000001E-01
+1.330000E-07,+3.160000E+00,+9.400001E-01
+1.340000E-07,+3.240000E+00,+9.800000E-01
+1.350000E-07,+3.200000E+00,+1.060000E+00
+1.360000E-07,+3.240000E+00,+1.100000E+00
+1.370000E-07,+3.280000E+00,+1.140000E+00
+1.380000E-07,+3.240000E+00,+1.220000E+00
+1.390000E-07,+3.200000E+00,+1.260000E+00
+1.400000E-07,+3.240000E+00,+1.300000E+00
+1.410000E-07,+3.240000E+00,+1.380000E+00
+1.420000E-07,+3.280000E+00,+1.380000E+00
+1.430000E-07,+3.280000E+00,+1.460000E+00
+1.440000E-07,+3.280000E+00,+1.500000E+00
+1.450000E-07,+3.280000E+00,+1.540000E+00
+1.460000E-07,+3.280000E+00,+1.580000E+00
+1.470000E-07,+3.280000E+00,+1.620000E+00
+1.480000E-07,+3.240000E+00,+1.660000E+00
+1.490000E-07,+3.240000E+00,+1.700000E+00
+1.500000E-07,+3.280000E+00,+1.740000E+00
+1.510000E-07,+3.280000E+00,+1.780000E+00
+1.520000E-07,+3.280000E+00,+1.820000E+00
+1.530000E-07,+3.280000E+00,+1.860000E+00
+1.540000E-07,+3.240000E+00,+1.900000E+00
+1.550000E-07,+3.240000E+00,+1.900000E+00
+1.560000E-07,+3.320000E+00,+1.940000E+00
+1.570000E-07,+3.280000E+00,+1.980000E+00
+1.580000E-07,+3.280000E+00,+2.060000E+00
+1.590000E-07,+3.280000E+00,+2.060000E+00
+1.600000E-07,+3.280000E+00,+2.060000E+00
+1.610000E-07,+3.320000E+00,+2.100000E+00
+1.620000E-07,+3.280000E+00,+2.100000E+00
+1.630000E-07,+3.240000E+00,+2.140000E+00
+1.640000E-07,+3.280000E+00,+2.220000E+00
+1.650000E-07,+3.240000E+00,+2.180000E+00
+1.660000E-07,+3.280000E+00,+2.220000E+00
+1.670000E-07,+3.280000E+00,+2.260000E+00
+1.680000E-07,+3.280000E+00,+2.260000E+00
+1.690000E-07,+3.280000E+00,+2.260000E+00
+1.700000E-07,+3.240000E+00,+2.300000E+00
