Record Length,Analog:700
Sample Interval,CH:0.0000000020000
Vertical Units,CH1:V CH3:V CH4:V,,,
Vertical Scale,CH1:+1.000000E+00 CH3:+1.000000E+00 CH4:+1.000000E+00,,,
Vertical Offset,CH1:+2.000000E-01 CH3:-3.500000E+00 CH4:+2.000000E-01,,,
Horizontal Units,us,,,
Horizontal Scale,0.1000000000,,,
Model Number,SDS1204X-E,,,
Serial Number,SDSMMEBQ3R3911,,,
Software Version,8.1.6.1.33,,,
Source,CH1,CH3,CH4
Second,Volt,Volt,Volt
+0.000000E+00,+2.000000E+00,+3.060000E+00,+8.000000E-02
+2.000000E-09,+1.840000E+00,+3.100000E+00,+8.000000E-02
+4.000000E-09,+1.720000E+00,+3.060000E+00,+8.000000E-02
+6.000000E-09,+1.600000E+00,+3.100000E+00,+8.000000E-02
+8.000000E-09,+1.480000E+00,+3.060000E+00,+3.999999E-02
+1.000000E-08,+1.320000E+00,+3.100000E+00,+3.999999E-02
+1.200000E-08,+1.240000E+00,+3.100000E+00,+3.999999E-02
+1.400000E-08,+1.160000E+00,+3.100000E+00,+3.999999E-02
+1.600000E-08,+1.040000E+00,+3.100000E+00,-1.490116E-08
+1.800000E-08,+9.200000E-01,+3.060000E+00,-1.490116E-08
+2.000000E-08,+8.400000E-01,+3.060000E+00,-1.490116E-08
+2.200000E-08,+8.000000E-01,+3.060000E+00,-1.490116E-08
+2.400000E-08,+7.200000E-01,+3.060000E+00,-1.490116E-08
+2.600000E-08,+6.400000E-01,+3.100000E+00,-1.490116E-08
+2.800000E-08,+6.000000E-01,+3.060000E+00,-1.490116E-08
+3.000000E-08,+5.200000E-01,+3.060000E+00,-4.000001E-02
+3.200000E-08,+5.200000E-01,+3.060000E+00,-1.490116E-08
+3.400000E-08,+4.400000E-01,+3.060000E+00,-1.490116E-08
+3.600000E-08,+4.400000E-01,+3.060000E+00,-1.490116E-08
+3.800000E-08,+4.000000E-01,+3.060000E+00,-1.490116E-08
+4.000000E-08,+3.600000E-01,+3.060000E+00,-1.490116E-08
+4.200000E-08,+3.200000E-01,+3.100000E+00,-1.490116E-08
+4.400000E-08,+3.200000E-01,+3.060000E+00,-1.490116E-08
+4.600000E-08,+2.800000E-01,+3.100000E+00,-1.490116E-08
+4.800000E-08,+2.800000E-01,+3.140000E+00,-1.490116E-08
+5.000000E-08,+2.400000E-01,+3.100000E+00,-1.490116E-08
+5.200000E-08,+2.400000E-01,+3.060000E+00,-1.490116E-08
+5.400000E-08,+2.000000E-01,+3.060000E+00,-1.490116E-08
+5.600000E-08,+2.000000E-01,+3.100000E+00,-1.490116E-08
+5.800000E-08,+1.600000E-01,+3.060000E+00,-1.490116E-08
+6.000000E-08,+1.600000E-01,+3.060000E+00,-1.490116E-08
+6.200000E-08,+8.000000E-02,+3.060000E+00,-4.000001E-02
+6.400000E-08,+8.000000E-02,+3.020000E+00,-4.000001E-02
+6.600000E-08,+3.999999E-02,+2.980000E+00,-4.000001E-02
+6.800000E-08,+8.000000E-02,+2.820000E+00,-4.000001E-02
+7.000000E-08,+8.000000E-02,+2.700000E+00,-1.490116E-08
+7.200000E-08,+8.000000E-02,+2.580000E+00,-1.490116E-08
+7.400000E-08,+8.000000E-02,+2.500000E+00,-1.490116E-08
+7.600000E-08,+1.200000E-01,+2.380000E+00,-1.490116E-08
+7.800000E-08,+1.200000E-01,+2.260000E+00,+3.999999E-02
+8.000000E-08,+1.200000E-01,+2.140000E+00,+3.999999E-02
+8.200000E-08,+8.000000E-02,+1.980000E+00,+3.999999E-02
+8.400000E-08,+8.000000E-02,+1.900000E+00,+3.999999E-02
+8.600000E-08,+3.999999E-02,+1.820000E+00,+3.999999E-02
+8.800000E-08,+3.999999E-02,+1.700000E+00,+3.999999E-02
+9.000000E-08,+3.999999E-02,+1.620000E+00,+3.999999E-02
+9.200000E-08,+3.999999E-02,+1.540000E+00,+3.999999E-02
+9.400000E-08,+3.999999E-02,+1.420000E+00,-1.490116E-08
+9.600000E-08,-1.490116E-08,+1.380000E+00,-1.490116E-08
+9.800000E-08,-1.490116E-08,+1.300000E+00,-1.490116E-08
+1.000000E-07,-1.490116E-08,+1.220000E+00,-1.490116E-08
+1.020000E-07,-1.490116E-08,+1.180000E+00,-1.490116E-08
+1.040000E-07,-1.490116E-08,+1.100000E+00,-1.490116E-08
+1.060000E-07,-1.490116E-08,+1.060000E+00,-1.490116E-08
+1.080000E-07,-1.490116E-08,+1.020000E+00,-1.490116E-08
+1.100000E-07,-1.490116E-08,+9.800000E-01,-1.490116E-08
+1.120000E-07,-1.490116E-08,+9.000001E-01,-1.490116E-08
+1.140000E-07,-1.490116E-08,+8.600001E-01,-1.490116E-08
+1.160000E-07,-1.490116E-08,+8.200002E-01,-1.490116E-08
+1.180000E-07,-1.490116E-08,+7.800000E-01,-1.490116E-08
+1.200000E-07,-4.000001E-02,+7.400000E-01,-1.490116E-08
+1.220000E-07,-4.000001E-02,+7.000000E-01,-1.490116E-08
+1.240000E-07,-4.000001E-02,+6.600001E-01,-4.000001E-02
+1.260000E-07,-4.000001E-02,+6.200001E-01,-1.490116E-08
+1.280000E-07,-4.000001E-02,+5.800002E-01,-1.490116E-08
+1.300000E-07,-1.490116E-08,+5.000000E-01,-1.490116E-08
+1.320000E-07,-1.490116E-08,+4.600000E-01,-1.490116E-08
+1.340000E-07,-1.490116E-08,+4.600000E-01,-1.490116E-08
+1.360000E-07,-1.490116E-08,+4.600000E-01,-1.490116E-08
+1.380000E-07,+1.200000E-01,+4.600000E-01,-1.490116E-08
+1.400000E-07,+3.600000E-01,+5.000000E-01,-1.490116E-08
+1.420000E-07,+4.000000E-01,+5.400000E-01,-1.490116E-08
+1.440000E-07,+4.000000E-01,+4.600000E-01,-1.490116E-08
+1.460000E-07,+4.000000E-01,+3.800001E-01,-1.490116E-08
+1.480000E-07,+4.800000E-01,+3.000002E-01,-4.000001E-02
+1.500000E-07,+6.800000E-01,+3.000002E-01,-4.000001E-02
+1.520000E-07,+8.400000E-01,+2.600000E-01,-4.000001E-02
+1.540000E-07,+9.999999E-01,+3.400002E-01,-4.000001E-02
+1.560000E-07,+1.080000E+00,+3.000002E-01,-4.000001E-02
+1.580000E-07,+1.200000E+00,+2.600000E-01,-8.000001E-02
+1.600000E-07,+1.360000E+00,+2.200000E-01,-8.000001E-02
